Date,Open,High,Low,Close,Volume
2020-09-22,59100,59700,57800,58200,20830381
2020-09-23,58400,58800,57400,58600,20111398
2020-09-24,57700,58600,57600,57800,17564020
2020-09-25,57700,58200,57700,57900,11444683
2020-09-28,58300,58800,57900,58200,12614080
2020-09-29,58300,59000,58200,58200,15503563
2020-10-05,57500,59200,57500,58700,20228289
2020-10-06,59400,59900,58700,59000,14463826
2020-10-07,58700,59900,58500,59900,14861838
2020-10-08,60500,60700,59500,59700,24589924
2020-10-12,60000,60400,59900,60400,16145837
2020-10-13,61000,61400,60400,60900,19247631
2020-10-14,61000,61100,60500,60900,16086716
2020-10-15,60700,60800,59700,60000,17756232
2020-10-16,60000,60400,59000,59500,16554190
2020-10-19,59600,60200,59500,60000,14474985
2020-10-20,60300,60900,60100,60900,19326115
2020-10-21,61200,61500,60600,60900,15703443
2020-10-22,60300,60500,59800,60100,14294095
2020-10-23,60400,60400,59800,60200,9322232
2020-10-26,60400,61100,60100,60400,13268226
2020-10-27,60300,60300,59500,59800,17260416
2020-10-28,59400,59400,58800,59000,14428882
2020-10-29,58200,58500,57500,58100,22636966
2020-10-30,58000,58000,56600,56600,26907844
2020-11-02,56400,57500,56000,57400,20489076
2020-11-03,57900,58900,57600,58800,14950919
2020-11-04,58900,59000,57800,58500,21718561
2020-11-05,59000,60300,58800,60300,20639475
2020-11-06,60700,60800,59600,60100,16910230
2020-11-09,60700,60900,60100,60200,15892961
2020-11-10,60500,60500,59500,60200,19073552
2020-11-11,60700,61400,60400,61300,25628510
2020-11-12,61000,61400,60700,61000,19800573
2020-11-13,61300,63200,61000,63200,31508829
2020-11-16,64000,66700,63900,66300,36354334
2020-11-17,67000,67000,65600,65700,30204089
2020-11-18,65700,66200,64700,64800,22963790
2020-11-19,64100,64800,63900,64600,16590290
2020-11-20,63900,65200,63900,64700,15068682
2020-11-23,64800,67800,64700,67500,27134398
2020-11-24,67900,69500,67000,68600,16692458
